time_s,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
1.884000000,-0.204079187,0.493682100,-1.966641641,3.163103719,1.493718953,-0.000020579
1.886000000,-0.203609092,0.493177084,-1.966610924,3.164079837,1.493651247,-0.000014747
1.888000000,-0.203137910,0.492646118,-1.966591935,3.165095865,1.493575809,-0.000011033
1.890000000,-0.202665714,0.492090958,-1.966585626,3.166135190,1.493498317,-0.000008667
1.892000000,-0.202192551,0.491513400,-1.966592767,3.167181031,1.493423093,-0.000007152
1.894000000,-0.201718461,0.490915271,-1.966613949,3.168217572,1.493352462,-0.000006173
1.896000000,-0.201243421,0.490298401,-1.966649515,3.169230684,1.493287003,-0.000005530
1.898000000,-0.200767231,0.489664353,-1.966699473,3.170208231,1.493226322,-0.000005102
1.900000000,-0.200289797,0.489014572,-1.966763854,3.171141882,1.493169058,-0.000004811
1.902000000,-0.199811059,0.488350693,-1.966842547,3.172027233,1.493113491,-0.000004612
1.904000000,-0.199331508,0.487674319,-1.966935344,3.172869707,1.493057061,-0.006418799
1.906000000,-0.198849959,0.486988030,-1.967041921,3.173654452,1.493000800,-0.004109546
1.908000000,-0.198366940,0.486291371,-1.967161482,3.174400243,1.492946074,-0.002631625
1.910000000,-0.197882729,0.485587459,-1.967293715,3.175112683,1.492888187,-0.001685760
1.912000000,-0.197397489,0.484877696,-1.967437887,3.175799433,1.492828350,-0.001080407
1.914000000,-0.196911128,0.484162872,-1.967592978,3.176469459,1.492768665,-0.000692983
1.916000000,-0.196423644,0.483443983,-1.967757879,3.177131561,1.492709881,-0.000445034
1.918000000,-0.195935095,0.482721932,-1.967931405,3.177793729,1.492651988,-0.000286349
1.920000000,-0.195445552,0.481997440,-1.968112283,3.178462791,1.492594715,-0.000184793
1.922000000,-0.194955084,0.481271082,-1.968299155,3.179144098,1.492537665,-0.000119801
1.924000000,-0.194463771,0.480543326,-1.968490615,3.179841304,1.492480415,-0.000078212
1.926000000,-0.193971700,0.479814556,-1.968685235,3.180556315,1.492422629,-0.000051603
1.928000000,-0.193478963,0.479085091,-1.968881585,3.181289355,1.492364127,-0.000034584
1.930000000,-0.192985665,0.478355211,-1.969078266,3.182039144,1.492304885,-0.000023705
1.932000000,-0.192491919,0.477625172,-1.969273924,3.182803149,1.492245001,-0.000016757
1.934000000,-0.191997850,0.476895231,-1.969467277,3.183577897,1.492184645,-0.000012326
1.936000000,-0.191503596,0.476165658,-1.969657128,3.184359311,1.492124013,-0.000009501
1.938000000,-0.191009306,0.475436742,-1.969842382,3.185143053,1.492063294,-0.000007696
1.940000000,-0.190515141,0.474708800,-1.970022051,3.185924836,1.492002645,-0.000006538
1.942000000,-0.190021270,0.473982179,-1.970195264,3.186700708,1.491942191,-0.000005787
1.944000000,-0.189527837,0.473257242,-1.970361222,3.187467142,1.491882097,-0.000005293
1.946000000,-0.189034428,0.472533969,-1.970518591,3.188219227,1.491823611,-0.000004967
1.948000000,-0.188540613,0.471811449,-1.970666364,3.188953001,1.491767732,-0.000004745
1.950000000,-0.188047849,0.471089289,-1.970804192,3.189676582,1.491714450,-0.007575013
1.953000000,-0.187303506,0.470006422,-1.970990083,3.190706520,1.491634263,-0.003880488
1.954000000,-0.187055374,0.469645280,-1.971046561,3.191043414,1.491608938,-0.003105237
1.956000000,-0.186558612,0.468923432,-1.971151287,3.191709454,1.491555780,-0.001988878
1.958000000,-0.186061622,0.468203091,-1.971245308,3.192367612,1.491498211,-0.001274409
1.960000000,-0.185564506,0.467484212,-1.971328788,3.193021940,1.491438151,-0.000817149
1.962000000,-0.185067380,0.466766964,-1.971401968,3.193676528,1.491377171,-0.000524503
1.964000000,-0.184570455,0.466051723,-1.971465217,3.194334805,1.491316036,-0.000337210
1.966000000,-0.184073980,0.465338829,-1.971518986,3.194999408,1.491255177,-0.000217344
